ID	GO_ID	Expression_profile	T30
PTET.51.1.G0170134		Early repression	1015,453276
PTET.51.1.G0170135		none	0
PTET.51.1.G0170136		none	4,650419741
PTET.51.1.G0170137	GO:0030163	Early repression	250,5775506
PTET.51.1.G0170138		Late repression	95,44259891
PTET.51.1.G0170139		none	1291,044151
PTET.51.1.G0170140		none	18,6496833
PTET.51.1.G0170141		Early peak	32,8546178
PTET.51.1.G0170142		none	109,6075799
PTET.51.1.G0170143		none	48,99004635
PTET.51.1.G0170144		none	109,7784689
PTET.51.1.G0170145	GO:0006812	Early repression	196,9568801
PTET.51.1.G0170146		Late repression	87,20939997
PTET.51.1.G0170147	GO:0006508	Intermediate peak	372,8912936
PTET.51.1.G0170148		none	6117,416584
PTET.51.1.G0170149		none	7130,867248
PTET.51.1.G0170150		Early repression	76,12115632
PTET.51.1.G0170151	GO:0015031	none	14603,3476
PTET.51.1.G0170152		Late induction	1455,105352
PTET.51.1.G0170153		none	122,9039503
PTET.51.1.G0170154	GO:0006468	none	244,3696629
PTET.51.1.G0170155		none	378,0355989
PTET.51.1.G0170156	GO:0055085	none	143,6249469
PTET.51.1.G0170157		none	24,68239762
PTET.51.1.G0170158		none	17,50009089
PTET.51.1.G0170159		none	202,0780823
PTET.51.1.G0170160		none	273,2266149
PTET.51.1.G0170161		Late induction	1757,308317
PTET.51.1.G0170162		none	3588,858457
PTET.51.1.G0170163		none	153,2226193
PTET.51.1.G0170164		none	115,2672
PTET.51.1.G0170165	GO:0070588	none	65,46058785
PTET.51.1.G0170166		none	4,113120249
PTET.51.1.G0170167	GO:0006468	none	578,5703461
PTET.51.1.G0170168	GO:0015914	Late repression	135,5726715
PTET.51.1.G0170169		none	5467,259325
PTET.51.1.G0170170		none	1147,463694
PTET.51.1.G0170171		none	4448,212601
PTET.51.1.G0170172		none	714,946081
PTET.51.1.G0170173	GO:0006468	none	0
PTET.51.1.G0170174	GO:0006468	none	178,0197042
PTET.51.1.G0170175	GO:0000413	Late induction	871,128846
PTET.51.1.G0170176		Late induction	54,50775668
PTET.51.1.G0170177		none	1,644985951
PTET.51.1.G0170178		none	8,427699449
PTET.51.1.G0170179	GO:0006508	Early repression	321,6269582
PTET.51.1.G0170180	GO:0006468	none	60,29551358
PTET.51.1.G0170181	GO:0006468	Late induction	58,38892456
PTET.51.1.G0170182		Late repression	67,8369237
PTET.51.1.G0170183		none	59,80760506
PTET.51.1.G0170184		Late repression	653,2471966
PTET.51.1.G0170185	GO:0006468	none	40,23871043
PTET.51.1.G0170186		Early peak	122,3044188
PTET.51.1.G0170187		Early peak	192,5300321
PTET.51.1.G0170188		none	554,9667215
PTET.51.1.G0170189		none	142,3098372
PTET.51.1.G0170190	GO:0006629	Late repression	416,0390437
PTET.51.1.G0170191		Late repression	751,5713839
PTET.51.1.G0170192		none	98,76685681
PTET.51.1.G0170193	GO:0006811	none	86,94034986
PTET.51.1.G0170194		Late induction	108,5186016
PTET.51.1.G0170195		Late repression	149,7319683
PTET.51.1.G0170196		none	448,9994019
PTET.51.1.G0170197		none	23,91644438
PTET.51.1.G0170198	GO:0006468	none	146,4266269
PTET.51.1.G0170199		none	8431,642233
PTET.51.1.G0170200	GO:0006468	none	32,62335271
PTET.51.1.G0170201		Late induction	59,98614822
PTET.51.1.G0170202		Early peak	10,27256898
PTET.51.1.G0170203	GO:0006468	none	221,1863914
PTET.51.1.G0170204		none	0
PTET.51.1.G0170205		none	219,3362805
PTET.51.1.G0170206	GO:0006412	Early repression	553,4820593
PTET.51.1.G0170207	GO:0006508	none	64,91721837
PTET.51.1.G0170208		none	269,6426283
PTET.51.1.G0170209		none	72,57857381
PTET.51.1.G0170210		none	436,5152383
PTET.51.1.G0170211		Early peak	35,26200623
PTET.51.1.G0170212	GO:0006412	Early repression	15730,30102
PTET.51.1.G0170213		Late induction	348,9254564
PTET.51.1.G0170214		none	33,94716461
PTET.51.1.G0170215		none	115,4433271
PTET.51.1.G0170216		none	84,90858611
PTET.51.1.G0170217	GO:0034453	none	231,0250478
PTET.51.1.G0170218		Late repression	340,090383
PTET.51.1.G0170219		none	38,71474435
PTET.51.1.G0170220	GO:0006468	Intermediate peak	1003,519539
PTET.51.1.G0170221	GO:0006511	Late repression	1800,288938
PTET.51.1.G0170222		Late induction	40,02098482
PTET.51.1.G0170223		Early repression	82,43061438
PTET.51.1.G0170224		none	154,1981283
PTET.51.1.G0170225		none	3817,167418
PTET.51.1.G0170226		none	352,271358
PTET.51.1.G0170227		Early peak	155,6470638
PTET.51.1.G0170228		none	26,45584437
PTET.51.1.G0170229		Late induction	618,7144722
PTET.51.1.G0170230		none	43,50735098
PTET.51.1.G0170231		Early repression	3809,83577
PTET.51.1.G0170232		Early peak	631,9557884
PTET.51.1.G0170233		Intermediate peak	73,92765252
PTET.51.1.G0170234		none	17,86834354
PTET.51.1.G0170235		none	94,89509443
PTET.51.1.G0170236		none	68,97218505
PTET.51.1.G0170237		none	695,9436186
PTET.51.1.G0170238		Early repression	441,4492143
PTET.51.1.G0170239	GO:0006468	none	79,21828876
PTET.51.1.G0170240		Late induction	82,71399385
PTET.51.1.G0170241		none	195,1474918
PTET.51.1.G0170242		none	131,2741331
PTET.51.1.G0170243		Early repression	979,666258
PTET.51.1.G0170244		none	555,5675177
PTET.51.1.G0170245		Early repression	89,26476534
PTET.51.1.G0170246		Intermediate peak	98,83659711
PTET.51.1.G0170247		Late repression	107,1764109
PTET.51.1.G0170248		none	131,395496
PTET.51.1.G0170249		none	246,4627167
PTET.51.1.G0170250	GO:0016311	Late repression	14,76765281
PTET.51.1.G0170251		Intermediate peak	134,5044479
PTET.51.1.G0170252	GO:0006468	none	25,35702554
PTET.51.1.G0170253		none	722,1186816
PTET.51.1.G0170254		none	69,00314331
PTET.51.1.G0170255		Early peak	34,21836741
PTET.51.1.G0170256		Early repression	186,4239399
PTET.51.1.G0170257		Late repression	278,7461593
PTET.51.1.G0170258	GO:0006468	none	313,4166607
PTET.51.1.G0170259		Early repression	4751,545232
PTET.51.1.G0170260	GO:0006468	Late repression	92,59131682
PTET.51.1.G0170261		Early peak	66,64816748
PTET.51.1.G0170262		none	87,74894353
PTET.51.1.G0170263		Late repression	42,58621878
PTET.51.1.G0170264		Late repression	137,3570329
PTET.51.1.G0170265		Late induction	52,126444
PTET.51.1.G0170266	GO:0006468	none	33,90809195
PTET.51.1.G0170267		none	7074,074413
PTET.51.1.G0170268		none	742,3652008
PTET.51.1.G0170269		none	22,07765462
PTET.51.1.G0170270		none	47,45491003
PTET.51.1.G0170271		none	46,40386473
PTET.51.1.G0170272		none	199,3104535
PTET.51.1.G0170273		Late induction	1178,742697
PTET.51.1.G0170274		none	1007,827784
PTET.51.1.G0170275		none	110,5764159
PTET.51.1.G0170276	GO:0007165	none	366,1028285
PTET.51.1.G0170277		Early repression	99,3247544
PTET.51.1.G0170278		none	43,01638261
PTET.51.1.G0170279	GO:0007018	none	912,2092606
PTET.51.1.G0170280		none	2,060665035
PTET.51.1.G0170281		none	6,493038884
PTET.51.1.G0170282		Late peak	329,8206603
PTET.51.1.G0170283	GO:0006468	Intermediate peak	1812,129901
PTET.51.1.G0170284		none	657,690114
PTET.51.1.G0170285		none	101,6135022
PTET.51.1.G0170286	GO:0006468	Late induction	158,5995324
PTET.51.1.G0170287		Early repression	530,6964955
PTET.51.1.G0170288		none	44,2082723
PTET.51.1.G0170289		none	848,2142388
PTET.51.1.G0170290		none	713,8513544
PTET.51.1.G0170291		Intermediate peak	30,44846253
PTET.51.1.G0170292		Early repression	8,957858417
PTET.51.1.G0170293		none	241,9671522
PTET.51.1.G0170294	GO:0006464	Late induction	280,33653
PTET.51.1.G0170295	GO:0006511	Late induction	37,69500993
PTET.51.1.G0170296	GO:0006468	none	1245,856089
PTET.51.1.G0170297		none	181,9024539
PTET.51.1.G0170298	GO:0006222	Intermediate peak	177,9124174
PTET.51.1.G0170299		none	8,62724108
PTET.51.1.G0170300		none	0
PTET.51.1.G0170301		Late repression	975,617351
PTET.51.1.G0170302		none	164,9644133
PTET.51.1.G0170303		Late induction	46,3996936
PTET.51.1.G0170304		none	312,5488034
PTET.51.1.G0170305		Late repression	82,25872269
PTET.51.1.G0170306		none	166,4511081
PTET.51.1.G0170307	GO:0006457	Early repression	833,5305613
PTET.51.1.G0170308		none	389,230858
PTET.51.1.G0170309		Late repression	98,09640019
PTET.51.1.G0170310		none	28,30320735
PTET.51.1.G0170311	GO:0006812	none	210,030167
PTET.51.1.G0170312		none	391,4802325
PTET.51.1.G0170313	GO:0006468	Late induction	415,6184836
PTET.51.1.G0170314		none	14,77863451
PTET.51.1.G0170315		none	13,06826813
PTET.51.1.G0170316	GO:0007165	none	122,6999603
PTET.51.1.G0170317		none	3412,341204
PTET.51.1.G0170318		none	20,42994425
